Eposide,Step,Start,End,List_Actions,Epsilon,Action_Decide
1,1,[[-1 11  0]],[[ -2 -10   0]],,1.0,Đi chéo phải
1,2,[[-1 11  0]],[[ -2 -10   0]],,1.0,Đi chéo phải
1,3,[[-1 11  0]],[[ -2 -10   0]],,1.0,Đi phải
1,4,[[-1 11  0]],[[ -2 -10   0]],,1.0,Đi chéo trái
1,5,[[-1 11  0]],[[ -2 -10   0]],,1.0,Đi chéo trái
